1790599,7805,Saltwater Creek Road,"Gladstone,Rutherglen",Greymouth
1785009,7472,Saltwater Creek Road,Sefton,
1791677,7271,Saltwater Lane,Wairau Valley,
1813718,3110,Saltwood Lane,Bethlehem,Tauranga
1838001,0932,Saltwood Street,Red Beach,
1820336,0484,Salvation Road,"Houhora,Pukenui",Pukenui
1820618,0494,Salvation Road,Totara North,Kaeo
1838355,0494,Salvation Road Extension,Totara North,Kaeo
3082220,2019,Salvia Lane,Totara Park,Auckland
3084650,8042,Samantha Lawry Road,Hornby,Christchurch
1815682,3119,Samantha Place,Te Puke,
1840532,3210,Samantha Way,Huntington,Hamilton
1832852,2103,Samara Place,Clendon Park,Auckland
1840514,4775,Sambar Lane,Feilding,
3082774,0230,Samba Way,Kerikeri,
1833121,2019,Sambrooke Crescent,Flat Bush,Auckland
3080483,3112,Sam Heywood Place,Pyes Pa,Tauranga
3079211,7776,Sam Holmes Drive,Methven,
3045892,9382,Sam John Place,Lake Hawea,
1819958,0230,Sammaree Place,Kerikeri,
1840944,5712,Sam Meads Way,Greytown,
1840788,1010,Samoa House Lane,Auckland Central,Auckland
1793675,6022,Samoa Street,Kilbirnie,Wellington
1839655,2022,Sam Place,Mangere,Auckland
1829925,0632,Sample Road,Albany,Auckland
1816421,4312,Sampson Avenue,Waiwhakaiho,New Plymouth
1818507,0627,Sampson Lane,Northcote,Auckland
1775280,9584,Sampson Road,Ashley Downs,Clinton
1811279,3781,Sampson Road,Waerenga,Te Kauwhata
1810954,3720,Sampson Street,Ngaruawahia,
3079781,0310,Sampsons Way,Dargaville,
1775060,9018,Samson Road,Concord,Dunedin
1806812,3682,Samson Road,Waihi,
1770890,9320,Samson Street,Alexandra,
1799593,7999,Sams Place,Lake Tekapo,
1801853,5032,Sams Way,Raumati South,Paraparaumu
2007568,0614,Samuel Cassidy Avenue,Swanson,Auckland
1832813,0632,Samuel Cross Place,Greenhithe,Auckland
2013409,0618,Samuel Marsden Place,Whenuapai,Auckland
1801611,6012,Samuel Parnell Road,Karori,Wellington
1814452,3210,Samuel Place,Queenwood,Hamilton
1835283,1072,Samuel Place,Stonefields,Auckland
3084702,4410,Samuel Place,Terrace End,Palmerston North
1830243,0632,Samuel's Lane,Albany,Auckland
1783454,8025,Samuel Street,Hoon Hay,Christchurch
1772436,9012,Samuel Street,South Dunedin,Dunedin
1815821,3110,Samuel Way,Judea,Tauranga
3078717,0230,Samuel Way,Kerikeri,
1799663,5024,Samwell Drive,Whitby,Porirua
1824778,1010,Sam Wrigley Street,Auckland Central,Auckland
1830058,0612,San Ambrosio Rise,Henderson,Auckland
1833078,0612,San Angelo Court,Henderson,Auckland
1830205,0612,San Antonio Way,Henderson,Auckland
1830501,0612,San Bernadino Drive,Henderson,Auckland
1832970,0612,San Carlo Court,Henderson,Auckland
1842360,0612,San Casello Rise,Henderson,Auckland
1793670,6035,Sanchi Way,Broadmeadows,Wellington
1837745,3210,San Clemento Way,Rototuna,Hamilton
3081093,2013,Sancta Maria Way,Flat Bush,Auckland
1806636,3121,Sanctuary Avenue,Ohope,
1837303,3579,Sanctuary Cove,Pauanui,
1830420,2681,Sanctuary Drive,Glenbrook,
1841625,7011,Sanctuary Drive,Stoke,Nelson
1787683,8052,Sanctuary Gardens,Shirley,Christchurch
1813757,3118,Sanctuary Key,Papamoa Beach,Papamoa
1988317,0573,Sanctuary Lane,Mangawhai,
3083691,3015,Sanctuary Lane,Pukehangi,Rotorua
1816091,3283,Sanctuary Lane,Tamahere,Hamilton
1839445,0174,Sanctuary Park Lane,Tamaterau,Whangarei
1838206,7882,Sanctuary Place,Kumara Junction,Greymouth
1832158,2010,Sanctuary Point,Sunnyhills,Auckland
1785900,7771,Sanctuary Road,Westerfield,Ashburton
1807625,3204,Sandalwood Drive,Dinsdale,Hamilton
1829721,2014,Sandalwood Place,Somerville,Auckland
1785510,8083,Sandalwood Place,Waimairi Beach,Christchurch
1842326,3110,Sandalwood Way,Bethlehem,Tauranga
1774922,9011,Sanda Road,Brockville,Dunedin
1825931,1072,Sanda Road,Panmure,Auckland
1770350,9430,Sanday Street,Palmerston,
3077363,0505,Sandbar Close,Mangawhai Heads,Mangawhai
1828047,2023,Sandbrook Avenue,Otara,Auckland
1797153,4501,Sandcroft Drive,Westmere,Whanganui
1791827,5573,Sand Dune Grove,Waikawa Beach,Manakau
3079793,0505,Sand Dune Lane,Mangawhai Heads,Mangawhai
2009032,3118,Sand Dune Lane,Papamoa Beach,Papamoa
1808993,4312,Sandel Rise,Merrilands,New Plymouth
1812632,3492,Sandel Road,Whakamaru,Mangakino
1789880,7081,Sandeman Road,Richmond,
1789320,7120,Sanderlane Drive,Motueka,
1803949,4110,Sanders Avenue,"Marewa,Napier South",Napier
1811680,3300,Sanders Avenue,Morrinsville,
3014383,0622,Sanders Avenue,Takapuna,Auckland
1816853,4310,Sanders Avenue,Westown,New Plymouth
1829509,2025,Sanderson Lane,Papatoetoe,Auckland
1805215,4130,Sanderson Place,Havelock North,
1820903,0984,Sanderson Road,Warkworth,
3024012,7385,Sandersons Road,"Hurunui,Scargill","Hawarden,Waikari"
1780307,7682,Sandersons Road,Leeston,
1786088,7379,Sandersons Road,Rotherham,
1831199,0793,Sanders Road,Paremoremo,Auckland
3023975,9572,Sanders Road,"Roxburgh East,Teviot",Roxburgh
1813258,3415,Sanders Street,Arapuni,Putaruru
3082825,7614,Sanders Way,Rolleston,
1815335,3803,Sandes Street,Ohaupo,
1806496,3500,Sandes Street,Thames,
1771366,9384,Sandflat Road,Cromwell,
1807626,3210,Sandford Place,Chartwell,Hamilton
1826789,0171,Sandford Road,Ruakaka,
1773814,9273,Sandford Road,Waitepeka,Balclutha
1831072,0630,Sandford Street,Campbells Bay,Auckland
1792843,5018,Sandford Street,Trentham,Upper Hutt
2014843,6037,Sandford Terrace,Churton Park,Wellington
1948391,9371,Sandford Terrace,Lower Shotover,Queenstown
1825605,1010,Sandford Way,Rakino Island,Auckland
1828054,2010,Sandgate Avenue,Botany Downs,Auckland
1773450,9073,Sandhead Street,Waihola,Milton
3082471,7615,Sandhill Drive,Rolleston,
2007238,0975,Sandhill Heights,Mangawhai,
1785362,7691,Sandhill Road,Woodend,
3056151,0481,Sandhills Road,"Ahipara,Awanui","Awanui,Kaitaia"
3056150,0991,Sandhills Road,Great Barrier Island (Aotea Island),
3012697,8083,Sandholm Close,North New Brighton,Christchurch
1813644,3118,Sandhurst Drive,Papamoa Beach,Papamoa
3080110,7615,Sandhurst Drive,Rolleston,
1814045,3200,Sandhurst Place,Nawton,Hamilton
1832891,0612,Sandhurst Rise,Henderson,Auckland
1793674,6035,Sandhurst Way,Crofton Downs,Wellington
1821914,0630,Sandiacre Way,Browns Bay,Auckland
1832790,0612,San Diego Court,Henderson,Auckland
1797290,4702,Sandilands Street,Feilding,
1842172,5028,Sandino Place,Grenada Village,Wellington
1833976,3177,Sandleigh Drive,Athenree,Waihi Beach
1807627,3204,Sandleigh Road,Hamilton Lake,Hamilton
1830453,0612,San Domingo Rise,Henderson,Auckland
1797379,4783,Sandon Block Road,"Ohingaiti,Waituna West","Feilding,Kimbolton"
1800970,,Sandon Road,"Feilding,Halcombe",
3050088,0118,Sando Way,One Tree Point,Whangarei
1776062,9712,Sandow Lane,Mataura,
1840242,4891,Sandown Avenue,Himatangi Beach,
1841387,7400,Sandown Boulevard,Rangiora,
1783444,8061,Sandown Crescent,Aranui,Christchurch
1836639,3210,Sandowne Close,Rototuna North,Hamilton
1814589,4130,Sandown Lane,Havelock North,
1821912,0630,Sandown Road,Rothesay Bay,Auckland
3028048,5581,Sandown Road,Te Horo Beach,Otaki
1773455,9073,Sandown Street,Waihola,Milton
1842675,0986,Sandpiper Avenue,Point Wells,
1791253,5032,Sandpiper Court,Paraparaumu Beach,Paraparaumu
3082431,0112,Sandpiper Drive,Tikipunga,Whangarei
1822649,0632,Sandpiper Grove,Unsworth Heights,Auckland
3077607,0505,Sandpiper Lane,Mangawhai Heads,Mangawhai
1839278,8083,Sandpiper Place,Waimairi Beach,Christchurch
1772431,9014,Sandpiper Street,Broad Bay,Dunedin
3081423,3210,Sandpiper Way,Flagstaff,Hamilton
1840607,3118,Sandpiper Way,Papamoa Beach,Papamoa
1828045,2023,Sandra Avenue,Otara,Auckland
1789422,7096,Sandra Road,Golden Downs,Wakefield
1783459,8062,Sandra Street,South New Brighton,Christchurch
1798795,4894,Sandridge Road,"Bulls,Santoft",Bulls
1837464,7183,Sandridge Terrace,Pohara,Takaka
1828046,2019,Sandrine Avenue,Clover Park,Auckland
1784747,8053,Sandringham Place,Bryndwr,Christchurch
1814453,3214,Sandringham Road,Enderley,Hamilton
3015953,,Sandringham Road,"Kingsland,Mount Eden,Sandringham,Wesley",Auckland
3037858,1041,Sandringham Road Extension,Wesley,Auckland
1774618,9400,Sandringham Street,Oamaru North,Oamaru
1775003,9012,Sandringham Street,Saint Clair,Dunedin
3081195,7632,Sandry Lane,Leeston,
1814092,3592,Sands Crescent,Matarangi,Whitianga
3007666,2014,Sandspit Road,"Cockle Bay,Shelly Park",Auckland
1820896,0982,Sandspit Road,"Sandspit,Warkworth",Warkworth
1832068,2123,Sandspit Road,Waiuku,
1836789,0173,Sandspit View Way,Ngunguru,Whangarei
1842552,3118,Sandspit Way,Papamoa Beach,Papamoa
1826792,0173,Sands Road,"Glenbervie,Whareora","Whangarei,Whareora"
1779139,7495,Sands Road,Okuku,
3035432,7971,Sands Road,Pareora,
1826896,2681,Sands Road,Waiuku,
1842547,7614,Sandstone Crescent,Rolleston,
3030682,9776,Sandstone Kingston Crossing Road,"Longridge,Sandstone",Riversdale
3055551,2576,Sandstone Road,"Flat Bush,Whitford","Auckland,Whitford"
1789136,7077,Sandstone Road,Matiri,Murchison
3083221,9310,Sandstorm Way,Cromwell,
1800952,4702,Sandstrom Grove,Feilding,
3082474,7615,Sandsview Way,Rolleston,
1796227,5034,Sand Track,Paekakariki,
1783463,8023,Sandwich Road,Beckenham,Christchurch
1807628,3200,Sandwich Road,St Andrews,Hamilton
1830441,2103,Sandwick Drive,Weymouth,Auckland
1783443,8083,Sandy Avenue,New Brighton,Christchurch
1791846,5889,Sandy Bay Drive,Mataikona,Tinui
1784988,0173,Sandy Bay Farms Road,Matapouri,Whangarei
1789126,7197,Sandy Bay-Marahau Road,"Kaiteriteri,Marahau",Motueka
1822654,0622,Sandy Bay Road,Bayswater,Auckland
1791060,7282,Sandy Bay Road,Black Rock,Marlborough Sounds
1779923,7387,Sandy Bay Road,Motunau,Greta Valley
1780048,8971,Sandy Beach Road,Te Rapaki-o-Te Rakiwhakaputa,Lyttelton
1819319,0593,Sandy Beach Road,Tinopai,
1799882,6037,Sandybrow,Churton Park,Wellington
1777968,9679,Sandy Brown Road,Te Anau,
1784206,4010,Sandy Cove,Wainui,Gisborne
1803752,4181,Sandy Creek Road,Tutira,Napier
1783467,8023,Sandyford Street,Sydenham,Christchurch
3031189,7671,Sandy Knolls Road,"Burnham,Rolleston,West Melton",
1770110,9775,Sandy Knowes Road,"Crossans Corner,Greenvale,Waikaka",Gore
1832638,1026,Sandy Lane,Avondale,Auckland
1837319,0505,Sandy Lane,Mangawhai Heads,Mangawhai
1836342,4501,Sandy Lane,Otamatea,Whanganui
1772429,9077,Sandymount Road,Sandymount,Dunedin
3079919,3611,Sandy Place,Waihi Beach,
1776656,9879,Sandy Point Road,"Oreti Beach,Sandy Point",Invercargill
1805241,4183,Sandy Road,Meeanee,Napier
3083379,7882,Sandys Hill Road,"Dillmanstown,Kumara,Kumara Junction",Greymouth
1834157,9382,Sandys Lane,Albert Town,Wanaka
1822964,0604,Sandys Parade,Laingholm,Auckland
1830714,0295,Sandys Road,Waipapa,
1790143,7804,Sandys Street,Blackball,Greymouth
1832529,0612,San Fernando Way,Henderson,Auckland
1825380,1041,Sanft Avenue,Mount Roskill,Auckland
1838854,2120,Sangam Place,Pukekohe,
1808003,3900,Sangro Crescent,Otorohanga,
1810601,3081,Sangro Road,Reporoa,
1818142,4398,Sangster Road,Rawhitiroa,Eltham
1814586,4394,Sangster Road,Toko,Stratford
1795744,4470,Sangsters Road,"Bunnythorpe,Kelvin Grove,Milson",Palmerston North
1832552,0612,San Ignacio Court,Henderson,Auckland
1829783,2016,San Jose Rise,Shamrock Park,Auckland
1830059,0612,San Lorenzo Rise,Henderson,Auckland
1830283,2013,San Luis Place,Golflands,Auckland
1838495,3210,San Marco Lane,Rototuna,Hamilton
1829566,0420,San Marino Drive,Coopers Beach,
1832530,0612,San Marino Drive,Henderson,Auckland
1833090,0612,San Marino Drive West,Henderson,Auckland
1830007,2105,San Martin Place,Goodwood Heights,Auckland
1830204,0612,San Pablo Way,Henderson,Auckland
1830206,0612,San Pedro Place,Henderson,Auckland
1840554,5032,San Priamo Place,Paraparaumu Beach,Paraparaumu
1842523,0612,San Prospero Crescent,Henderson,Auckland
1784743,8053,San Rafael Place,Burnside,Christchurch
3077733,0932,Sanremo Lane,Stanmore Bay,Whangaparaoa
1785981,8081,Sanscrit Place,Richmond Hill,Christchurch
1800360,6012,San Sebastian Road,Kelburn,Wellington
3002412,9777,Sansen Road,"Cattle Flat,Wendonside",Riversdale
3081399,5510,Sanson Place,Levin,
3027039,9292,Sanson Road,"Akatore,Glenledi",Milton
1811004,3772,Sanson Road,Ruawaro,Huntly
3027040,9777,Sanson Road,"Waipounamu,Wendon",Riversdale
3026310,4473,Sansons Road,"Glen Oroua,Rongotea",
1841899,7614,Sansovino Lane,Rolleston,
3025769,2016,Santa Ana Drive,"Dannemora,Shamrock Park",Auckland
1814013,3118,Santa Barbara Drive,Papamoa Beach,Papamoa
1833818,3118,Santa Cruz Drive,Papamoa Beach,Papamoa
1829779,2016,Santa Cruz Drive,Shamrock Park,Auckland
1813583,3118,Santa Fe Key,Papamoa Beach,Papamoa
1786782,8081,Santa Maria Avenue,Mount Pleasant,Christchurch
1813964,3510,Santa Maria Drive,Whitianga,
1837153,3118,Santa Maria Key,Papamoa Beach,Papamoa
1813528,3118,Santa Monica Drive,Papamoa Beach,Papamoa
1828059,2105,Santa Monica Place,Goodwood Heights,Auckland
1784089,8025,Santa Rosa Avenue,Halswell,Christchurch
1822650,0620,Santa Rosa Terrace,Forrest Hill,Auckland
1801722,5032,Santa Teresa Court,Paraparaumu Beach,Paraparaumu
1818516,0632,Santiago Crescent,Unsworth Heights,Auckland
1839092,3210,Santiago Place,Flagstaff,Hamilton
3021325,4894,Santoft Road,"Lake Alice,Marton,Santoft","Bulls,Marton"
1813529,3118,Santorini Key,Papamoa Beach,Papamoa
3077891,0629,Santorini Rise,Bayview,Auckland
1825523,1061,Santos Place,Onehunga,Auckland
1830060,0612,San Valentino Drive,Henderson,Auckland
1832553,0612,San Vito Place,Henderson,Auckland
1799889,5032,San Vito Place,Paraparaumu Beach,Paraparaumu
3079403,1041,Saofaga Lane,Mount Roskill,Auckland
3082936,3118,Sapida Close,Papamoa Beach,Papamoa
1830411,2120,Sapling Drive,Pukekohe,
3078711,3206,Sapling Lane,Glenview,Hamilton
1944709,0932,Sapling Way,Silverdale,
1842641,3204,Sapper Moore-Jones Place,Hamilton Central,Hamilton
1837408,0612,Sapperton Drive,Henderson,Auckland
1806497,3508,Sapphire Crescent,Tairua,
1813663,3112,Sapphire Drive,Hairini,Tauranga
1801812,5018,Sapphire Grove,Birchville,Upper Hutt
1822656,0629,Sapphire Place,Bayview,Auckland
1807629,3210,Sapphire Place,Chartwell,Hamilton
1829575,0174,Sapphire Place,Parua Bay,
1814934,3015,Sapphire Place,Pukehangi,Rotorua
3079694,0931,Sapphire Sea Road,Orewa,
3077824,9305,Sapphire Spring Rise,Wanaka,
1784751,8051,Sapphire Street,Casebrook,Christchurch
3078644,2110,Sapwood Crescent,Takanini,Auckland
1839012,0173,Saqa Way,Matapouri,Whangarei
1784745,8051,Sarabande Avenue,Redwood,Christchurch
1787705,8051,Saracen Avenue,Northwood,Christchurch
3079968,2576,Saracen Way,Whitford,
1806498,3510,Sarah Avenue,Whitianga,
1770889,9320,Sarah Cameron Place,Alexandra,
1836455,3210,Sarah Court,Rototuna North,Hamilton
3078217,7120,Sarah Lane,Motueka,
3083255,8051,Sarah Nicholls Street,Belfast,Christchurch
1828034,2012,Sarah Place,Farm Cove,Auckland
1836091,3118,Sarah Place,Papamoa Beach,Papamoa
1841141,3591,Sarahs Hill,Hahei,Whitianga
1802173,7672,Sarahs Lane,Lincoln,
3080191,8083,Sarah Street,Marshland,Christchurch
1785744,7910,Sarah Street,Timaru,
1798194,5573,Sarah Street,Waikawa Beach,Manakau
1820900,0812,Sarah Todd Lane,Waimauku,
1793661,6035,Sarah Way,Crofton Downs,Wellington
1822971,0614,Sarajevo Place,Massey,Auckland
1832804,2105,Saralee Drive,Manurewa,Auckland
1825377,1042,Saran Place,Hillsborough,Auckland
1824458,1011,Saratoga Avenue,Herne Bay,Auckland
1838349,3118,Saratoga Court,Papamoa Beach,Papamoa
3077805,0230,Sarawak Drive,Kerikeri,
1800005,3510,Sara Way,Whitianga,
1825434,1052,Sarawia Street,Newmarket,Auckland
1841792,2019,Sarazen Drive,Flat Bush,Auckland
2016957,3118,Sarcodia Place,Papamoa Beach,Papamoa
1816852,4310,Sardinha Place,Marfell,New Plymouth
3077452,4410,Sardinia Grove,Fitzherbert,Palmerston North
1815948,3110,Sardinia Rise,Bethlehem,Tauranga
