road_id,postcode,name,locality,city
1800907,4071,MacLaurin Road,Makauri,Gisborne
1823964,0600,MacLaurin Street,Blockhouse Bay,Auckland
1804701,4930,MacLaurin Street,Dannevirke,
2007764,9320,MacLean Road,Alexandra,
1770790,9495,MacLean Road,Herbert,
1790560,7886,MacLean Road,Jackson Bay,Haast
1832385,2012,MacLeans Road,"Bucklands Beach,Howick",Auckland
1812823,3434,MacLean Street,Cambridge,
1773290,9082,MacLean Street,Deborah Bay,Port Chalmers
1782275,7980,MacLean Street,Morven,Waimate
1796230,5032,MacLean Street,Paraparaumu Beach,Paraparaumu
1770784,9493,MacLean Street,Waitaki Bridge,
1792831,5018,MacLean Street,Wallaceville,Upper Hutt
1802066,4010,MacLean Street,Whataupoko,Gisborne
3079100,0871,MacLennan Farm Lane,Kaukapakapa,
1770786,9491,MacLennan Street,Whitstone,Oamaru
3080984,9010,Macleod Avenue,Halfway Bush,Dunedin
1808687,3119,MacLoughlin Drive,Te Puke,
3033107,9810,MacMaster Street,"Richmond,Turnbull Thomson Park",Invercargill
1783898,8022,MacMillan Avenue,Cashmere,Christchurch
1838866,9383,MacMillan Lane,Mount Pisa,Cromwell
1797228,4702,MacMillan Place,Feilding,
3051022,0991,MacMillan Road,Great Barrier Island (Aotea Island),
1779721,7381,MacMillan Road,Spotswood,Cheviot
1812059,3484,MacMillan Road,Tirau,
1808645,3129,Macmillan Street,Katikati,
1814648,3112,MacMillan Street,Tauranga South,Tauranga
1814408,3206,MacMurdo Avenue,Glenview,Hamilton
1819646,0200,MacMurray Road,Paihia,
1823969,1050,MacMurray Road,Remuera,Auckland
1822003,0630,MacNay Way,Murrays Bay,Auckland
1832644,2016,MacNean Drive,East Tamaki Heights,Auckland
1774937,9011,MacNee Street,Mornington,Dunedin
3077713,7400,MacPhail Avenue,Rangiora,
1781215,7730,MacPhail Place,Methven,
3078814,4470,Macpherson Grove,Kelvin Grove,Palmerston North
1790559,7886,MacPherson Road,Haast,
1776785,9782,MacPherson Road,Hokonui,Winton
1823972,1072,MacPherson Street,Meadowbank,Auckland
1771711,9305,MacPherson Street,Wanaka,
1825613,1971,MacQuarrie Road,Waiheke Island,
1813826,3116,Macrae Avenue,Mount Maunganui,
3066838,9483,Macraes Back Road,Macraes,Macraes Flat
3009021,9483,Macraes Road,"Macraes,Moonlight,Nenthorn,Waynes","Macraes Flat,Palmerston"
1812638,3382,Mac Road,Tauranga Taupo,Turangi
3083500,5713,Macrocarpa Lane,Carterton,
1823097,0612,Macrocarpa Place,Ranui,Auckland
1773567,9282,Macrocarpa Road,Wangaloa,Kaitangata
3072666,5713,Macs Lane,Carterton,
3078301,9492,Macs Ridge Road,Oamaru North,Oamaru
1842048,7071,Macs Road,Hira,
1808857,3116,Macville Road,Mount Maunganui,
1829583,2577,MacWhinney Drive,Drury,
1827630,2579,Maddaford Road,Ramarama,Drury
1858520,0810,Madden Avenue,Kumeu,
1833081,0178,Maddendale Place,Maungakaramea,
1795132,5810,Madden Place,Solway,Masterton
1831435,1010,Madden Street,Auckland Central,Auckland
1840445,0873,Maddies Road,Kaukapakapa,
1813841,3112,Maddison Place,Welcome Bay,Tauranga
1780466,,Maddisons Road,"Rolleston,Templeton","Christchurch,Rolleston"
3042502,4122,Maddison Street,"Akina,Hastings,Parkvale",Hastings
1807039,3610,Maddocks Street,Waihi,
1826717,0181,Maddren Road,Hikurangi,
1781266,7985,Maddren Street,Winchester,
1814105,3118,Madeira Close,Papamoa Beach,Papamoa
1840557,5024,Madeira Close,Whitby,Porirua
1823963,1023,Madeira Lane,Grafton,Auckland
3080882,0614,Madeira Lane,Massey,Auckland
1823965,1023,Madeira Place,Grafton,Auckland
1804230,4110,Madeira Road,Bluff Hill,Napier
1804231,4110,Madeira Steps,Bluff Hill,Napier
2016909,3114,Madeleine Place,Omokoroa,
1815488,3118,Madeleine Terrace,Papamoa Beach,Papamoa
1782382,8081,Madeley Road,Mount Pleasant,Christchurch
1785621,7692,Madeleys Road,Clarkville,Kaiapoi
1814062,3503,Madgwick Place,Ngatea,
1825054,0602,Madigan Place,Glendene,Auckland
1807399,3200,Madill Road,St Andrews,Hamilton
1789370,7096,Madill Road,Tapawera,Wakefield
1838398,2121,Madill Street,Tuakau,
1799924,4414,Madison Avenue,Milson,Palmerston North
1839475,9310,Madison Lane,Cromwell,
1807400,3204,Madison Place,Dinsdale,Hamilton
1831197,0620,Madison Place,Forrest Hill,Auckland
1793864,6022,Madison Place,Miramar,Wellington
1839929,0110,Madison Place,Morningside,Whangarei
1809579,3434,Madison Street,Cambridge,
1849179,5713,Madison Street,Carterton,
1842252,0932,Madison Terrace,Silverdale,
1787886,7892,Madmans Road,Charleston,Cape Foulwind
1796719,4500,Madras Street,Aramoho,Whanganui
3025685,,Madras Street,"Christchurch Central,St Albans,Sydenham",Christchurch
1793867,6035,Madras Street,Khandallah,Wellington
1804695,4930,Madrid Street,Dannevirke,
3083550,0602,Madrigal Lane,Glen Eden,Auckland
1829241,2010,Madrona Place,Highland Park,Auckland
3079973,3473,Maea Lane,Matamata,
3083335,1041,Maea Lane,Mount Roskill,Auckland
3084221,2571,Maea Rise,Beachlands,Auckland
3041887,7274,Maeburn Street,Witherlea,Blenheim
3082005,0985,Maeha Drive,Matakana,
1944481,8053,Maelor Place,Bryndwr,Christchurch
1820919,0975,Maeneene Road,Wellsford,
3019916,,Maeroa Road,"Beerescourt,Frankton,Maeroa",Hamilton
1813827,3118,Maesbury Close,Papamoa Beach,Papamoa
1803088,4779,Maewa Road,Feilding,
1783252,8061,Mafeking Street,New Brighton,Christchurch
1780587,7572,Maffeys Road,"Glentunnel,Hororata",
1783251,8081,Maffeys Road,Mount Pleasant,Christchurch
3001732,8082,Magazine Bay Marina,"Lyttelton,Lyttelton Harbour/Whakaraupo",Lyttelton
1773288,9092,Magazine Road,Mosgiel,
1787200,8024,Magdala Place,Middleton,Christchurch
1770788,9495,Magdala Street,Kakanui,Oamaru
1770164,9013,Magdala Street,"Saint Kilda,Tainui",Dunedin
1804218,4112,Magdalen Crescent,Pirimai,Napier
1823101,0618,Magdalen Place,West Harbour,Auckland
1793508,5028,Magdalen Street,Tawa,Wellington
3070001,7392,Magdalen Valley Road,Lewis Pass,Reefton
3078698,4130,Magdalinos Way,Havelock North,
1814409,3210,Magee Place,Chartwell,Hamilton
1832645,2016,Magee Place,East Tamaki Heights,Auckland
