road_id,postcode,name,locality,city
3056492,9493,Railway Road,"Pukeuri,Richmond","Oamaru,Waitaki Bridge"
1800846,4632,Railway Road,Raetihi,
1785321,7400,Railway Road,Rangiora,
1811150,3721,Railway Road,Taupiri,
1815148,3491,Railway Road,Tokoroa,
1778865,9620,Railway Road,Tuatapere,
1803133,4108,Railway Road,Wairoa,
1803619,4172,Railway Road,Whakatu,Hastings
1826006,0110,Railway Road,Whangarei,
3056202,4172,Railway Road South,"Longlands,Pakipaki,Raureka",Hastings
1796662,4625,Railway Row,Ohakune,
1817691,4597,Railway Settlement Road,Patea,
1771027,9395,Railway Station Road,Wedderburn,Ranfurly
1775932,9710,Railway Street,East Gore,Gore
1818140,4322,Railway Street,Eltham,
1782058,7925,Railway Street,Fairlie,
3033321,0800,Railway Street,Helensville,
1775262,9273,Railway Street,Kakapuaka,Balclutha
1825410,1023,Railway Street,Newmarket,Auckland
1770461,9494,Railway Street,Ngapara,Oamaru
1806967,3600,Railway Street,Paeroa,
1784944,7472,Railway Street,Sefton,
1770457,9491,Railway Street,Windsor,Oamaru
1778138,9720,Railway Street,Winton,
1827903,2110,Railway Street West,Papakura,
1779810,7410,Railway Terrace,Amberley,
1780156,7682,Railway Terrace,Doyleston,
1783494,7980,Railway Terrace,Glenavy,Waimate
1780552,7673,Railway Terrace,Glentunnel,
1787466,8022,Railway Terrace,Heathcote Valley,Christchurch
1790328,7810,Railway Terrace,Hokitika,
1775520,9572,Railway Terrace,Millers Flat,Roxburgh
1826012,0110,Railway Terrace,Morningside,Whangarei
1801095,5570,Railway Terrace,Ohau,
1790743,7803,Railway Terrace,Runanga,
1784035,8042,Railway Terrace,Templeton,Christchurch
1773711,9771,Railway Terrace,Waipahi,Gore
1780155,7682,Railway Terrace East,Dunsandel,
1781010,7710,Railway Terrace East,Rakaia,
1780551,7500,Railway Terrace East,Sheffield,
1780158,7682,Railway Terrace West,Dunsandel,
1781000,7710,Railway Terrace West,Rakaia,
1805114,4122,Rainbow Avenue,Parkvale,Hastings
1796045,5032,Rainbow Court,Raumati South,Paraparaumu
1789621,7010,Rainbow Drive,Atawhai,Nelson
1812649,3330,Rainbow Drive,Rainbow Point,Taupo
1830697,0295,Rainbow Falls Road,Kerikeri,
1830277,0110,Rainbow Place,Onerahi,Whangarei
1829323,2103,Rainbow Place,Wattle Downs,Auckland
1818085,9679,Rainbow Reach Road,Manapouri,
1842056,7072,Rainbow Road,"Rainbow,St. Arnaud",St. Arnaud
3040524,7982,Raincliff Road,"Hazelburn,Middle Valley,Totara Valley","Fairlie,Pleasant Point"
1822284,0620,Raines Avenue,Forrest Hill,Auckland
1794353,6012,Raine Street,Karori,Wellington
1797008,4500,Raine Street,Whanganui East,Whanganui
1842647,3118,Rainey Crescent,Papamoa Beach,Papamoa
3049304,5011,Rainey Grove,Taita,Lower Hutt
1780632,7672,Raineys Road,Lincoln,
1785112,7495,Raineys Road,View Hill,Oxford
3061161,7772,Rainey Way,Newland,Ashburton
1825231,1041,Rainford Street,Mount Roskill,Auckland
1799157,4414,Rainforth Street,Roslyn,Palmerston North
1818166,4671,Rainie Road,Okaiawa,Hawera
1788307,7011,Rainier Street,Monaco,Nelson
3078247,2120,Rainsford Road,Pukekohe,
1816917,4310,Rainsford Street,Moturoa,New Plymouth
1775557,9012,Rainton Road,Kew,Dunedin
1788604,7072,Rainy River Road,Atapo,St. Arnaud
3006867,4312,Raiomiti Street,Fitzroy,New Plymouth
1930675,2402,Raithburn Terrace,Pokeno,
3008758,7077,Rait Road,"Longford,Owen River",Murchison
1788605,7077,Rait Road East,Longford,Murchison
1802811,4079,Raiwai Street,Tokomaru Bay,
1825233,1042,Rajan Place,Hillsborough,Auckland
1794349,6035,Rajkot Terrace,Broadmeadows,Wellington
1794367,6035,Rajputana Way,Khandallah,Wellington
3059398,9872,Rakahouka Church Road,"Rakahouka,Roslyn Bush",Invercargill
3036068,9876,Rakahouka Grove Bush Road,"Grove Bush,Rakahouka",Invercargill
3073022,9872,Rakahouka Hedgehope Road,"Hedgehope,Mabel Bush,Rakahouka",Invercargill
1784943,7473,Rakahuri Road,Glentui,Oxford
3063153,,Rakaia Barrhill Methven Road,"Barrhill,Hatfield,Highbank,Mitcham,Rakaia","Ashburton,Lauriston,Methven,Rakaia"
3031912,7572,Rakaia Gorge Road,Windwhistle,Hororata
1800318,5014,Rakaia Grove,Wainuiomata,Lower Hutt
3003802,,Rakaia Highway,"Allenton,Chertsey,Dromore,Fairton,Newland,Rakaia","Ashburton,Rakaia"
1799151,4410,Rakaia Place,Palmerston North,
1829342,2019,Rakaia Rise,Clover Park,Auckland
3045758,7782,Rakaia River Road,"Highbank,Methven",Methven
1819702,0281,Rakaia Road,Motatau,Kawakawa
3012487,7783,Rakaia Selwyn Road,"Leeston,Southbridge",
1805566,4977,Rakaiatai Road,Ormondville,
1841507,4010,Rakaiatane Road,Kaiti,Gisborne
1786335,7710,Rakaia Terrace,Rakaia,
3071904,,Rakaia Terrace Road,"Bankside,Hororata",
1842164,4182,Rakaia Way,Poraiti,Napier
1791397,7374,Rakanui Road,Peketa,Kaikoura
1826710,0116,Rakatau Place,Ruakaka,
3084805,3377,Rākau Drive,Kinloch,Taupo
1793059,5019,Rakau Grove,Stokes Valley,Lower Hutt
1801487,4072,Rakaukaka Road,Manutuke,
3082956,8051,Rakau Lane,Casebrook,Christchurch
3082986,9810,Rakau Lane,Waikiwi,Invercargill
1815935,3771,Rakaumangamanga Road,Te Ohaki,Huntly
1807990,3886,Rakaunui Road,Hauturu,Oparau
1812645,3378,Rakaunui Road,Rotokawa,Taupo
1811077,3297,Rakaunui Street,Raglan,
1798682,4597,Rakaupiko Road,Patea,
1842182,4501,Rakau Road,Castlecliff,Whanganui
1794357,6021,Rakau Road,Hataitai,Wellington
3083935,0618,Rakau Road,Hobsonville,Auckland
1812646,3081,Rakau Road,Reporoa,
3035321,4075,Rakauroa Road,"Matawai,Rakauroa",Matawai
1805157,4130,Rakau Street,Havelock North,
1824091,1050,Rakau Street,Remuera,Auckland
3063539,4696,Rakautangi Road,"Makakahi,Ruatiti",Raetihi
1838357,0474,Rakautao Road,Kaikohe,
1820093,0491,Rakautapu Road,Kohukohu,
1804690,4974,Rakautatahi Road,Takapau,
1832660,0931,Rakau Views,Orewa,
3045497,0473,Rakauwahia Road,"Kaikohe,Taheke",Kaikohe
1793336,5012,Rakeiora Grove,Korokoro,Lower Hutt
3083872,2124,Rakena Way,Paerata,Pukekohe
3081297,7471,Rakero Lane,Fernside,Rangiora
1823320,0612,Rakich Place,Henderson,Auckland
3071277,5022,Rakihau Place,Titahi Bay,Porirua
3079107,0900,Raki Lane,Wellsford,
1840113,7612,Rakimarie Lane,Pegasus,
1821372,0930,Rakino Avenue,Manly,Whangaparaoa
1806739,3671,Rakino Drive,Kerepehi,Paeroa
1799160,4412,Rakino Place,Awapuni,Palmerston North
1825834,1060,Rakino Way,Mount Wellington,Auckland
3078578,2019,Rakiraki Place,Flat Bush,Auckland
3077354,3171,Rakiraki Way,Tauriko,Tauranga
3084511,0992,Raki Road,Wainui,
3077714,2120,Raki Street,Pukekohe,
3010935,0991,Rakitu Island,"Rakitu Island (Arid Island),The Cove",
3084306,5024,Rakiura Crescent,Aotea,Porirua
1776671,9879,Rakiura Parade,Otatara,Invercargill
3078494,0975,Rako Drive,Mangawhai,
1800481,6037,Rakopi Drive,Newlands,Wellington
1829335,2102,Rako Place,Manurewa,Auckland
1814147,4395,Rakorako Road,Matau,Stratford
1805836,3214,Raleigh Avenue,"Chartwell,Fairview Downs",Hamilton
1803282,4120,Raleigh Place,Flaxmere,Hastings
1829341,2023,Raleigh Place,Otara,Auckland
1831112,0627,Raleigh Road,Northcote,Auckland
1799164,4412,Raleigh Street,Awapuni,Palmerston North
1784389,8053,Raleigh Street,Bishopdale,Christchurch
1790604,7805,Raleigh Street,"Blaketown,Greymouth",Greymouth
1809701,,Raleigh Street,"Brixton,Waitara",Waitara
1803285,4120,Raleigh Street,Flaxmere,Hastings
1812720,3432,Raleigh Street,Leamington,Cambridge
1798435,5510,Raleigh Street,Levin,
1772130,9010,Raleigh Street,Liberton,Dunedin
1800781,4472,Raleigh Street,Linton,Palmerston North
1823746,1024,Raleigh Street,Mount Eden,Auckland
1816910,4310,Raleigh Street,Vogeltown,New Plymouth
1822283,0630,Ralph Eagles Place,Long Bay,Auckland
1788309,7010,Ralphine Way,Maitai,Nelson
1837945,3611,Ralph Lane,Waihi Beach,
3080988,9679,Ralph Moir Drive,Te Anau,
1811339,3771,Ralph Road,"Huntly,Ohinewai",Huntly
1810855,3700,Ralph Street,Huntly,
1802284,4010,Ralph Street,Tamarau,Gisborne
3055168,0171,Ralph Trimmer Drive,Marsden Point,Whangarei
1773233,9092,Ralston Street,Allanton,Mosgiel
1794342,6035,Rama Crescent,Khandallah,Wellington
1782757,8022,Ramahana Road,"Huntsbury,Saint Martins",Christchurch
1817547,4610,Ramanui Avenue,Hawera,
3079330,6035,Ramarama Lane,Crofton Downs,Wellington
1827627,2579,Ramarama Road,Ramarama,Drury
1818238,4678,Rama Road,"Auroa,Kaupokonui",Hawera
1831928,0171,Rama Road,Marsden Point,Whangarei
1824105,1022,Rama Road,Point Chevalier,Auckland
1810999,3983,Ramaroa Road,Aria,
1821746,0626,Rambler Crescent,Beach Haven,Auckland
1809568,3120,Rambler Drive,Whakatane,
1788559,7183,Rameka Creek Road,"Motupipi,Takaka",Takaka
1802310,4079,Rameka Street,Tokomaru Bay,
1825235,1041,Ramelton Road,Mount Roskill,Auckland
1822280,0632,Rame Road,Greenhithe,Auckland
1810553,3015,Rameses Place,Pomare,Rotorua
1819785,2120,Ramesh Place,Pukekohe,
1774651,9495,Ram Hill Road,Mount Stalker,Herbert
1776971,9892,Ram Hill Road,Redan,Wyndham
1822282,0629,Ramillies Place,Glenfield,Auckland
1829949,2014,Ramoana Mews,Shelly Park,Auckland
3057373,5510,Ramona Avenue,Waitarere Beach,Levin
1831632,0629,Ramonda Close,Bayview,Auckland
